DATE,MABMM301ZAM189S
1997-03-01,345248194300.0
1997-04-01,349319275100.0
1997-05-01,356191644600.0
1997-06-01,356429804000.0
1997-07-01,362014387300.0
1997-08-01,366802240300.0
1997-09-01,376889375800.0
1997-10-01,383812947400.0
1997-11-01,385368749900.0
1997-12-01,384539570700.0
1998-01-01,392998608900.0
1998-02-01,402199517900.0
1998-03-01,399976766400.0
1998-04-01,408432891200.0
1998-05-01,410654917600.0
1998-06-01,417011100600.0
1998-07-01,418119206000.0
1998-08-01,424083817500.0
1998-09-01,425153929800.0
1998-10-01,425430367000.0
1998-11-01,433763670400.0
1998-12-01,436044922300.0
1999-01-01,436805869300.0
1999-02-01,425429668100.0
1999-03-01,436514616900.0
1999-04-01,439834629100.0
1999-05-01,441289154500.0
1999-06-01,451484390200.0
1999-07-01,451768812300.0
1999-08-01,451104331400.0
1999-09-01,462680168700.0
1999-10-01,467030441800.0
1999-11-01,477662631600.0
1999-12-01,481814987400.0
2000-01-01,479283117700.0
2000-02-01,481129932700.0
2000-03-01,477857680700.0
2000-04-01,481991111800.0
2000-05-01,482157064800.0
2000-06-01,485737162000.0
2000-07-01,480651542800.0
2000-08-01,489351629900.0
2000-09-01,499539543700.0
2000-10-01,501788076800.0
2000-11-01,505224366100.0
2000-12-01,516888386900.0
2001-01-01,524363469400.0
2001-02-01,529270778500.0
2001-03-01,539007006400.0
2001-04-01,541455964200.00006
2001-05-01,548616416500.0
2001-06-01,556015275200.0
2001-07-01,566948782800.0
2001-08-01,580547442300.0
2001-09-01,575005920600.0
2001-10-01,579983706400.0
2001-11-01,591064369300.0
2001-12-01,602271672800.0
2002-01-01,630776983300.0
2002-02-01,639200497000.0
2002-03-01,645605908000.0
2002-04-01,654237330700.0
2002-05-01,675179861300.0
2002-06-01,666311619200.0
2002-07-01,673095449400.0
2002-08-01,682824608300.0
2002-09-01,681630788700.0
2002-10-01,699352197200.0
2002-11-01,707984361500.0
2002-12-01,711654345000.0
2003-01-01,724103170800.0
2003-02-01,727873663800.0
2003-03-01,734424881400.0
2003-04-01,753366501900.0
2003-05-01,763554820600.0
2003-06-01,769458792800.0
2003-07-01,776807964700.0
2003-08-01,769400906300.0
2003-09-01,781255926200.0
2003-10-01,790644089100.0
2003-11-01,799851428800.0
2003-12-01,803911675200.0
2004-01-01,835217661900.0
2004-02-01,869264630300.0
2004-03-01,843331310200.0
2004-04-01,855175786900.0
2004-05-01,843410297500.0
2004-06-01,865137934600.0
2004-07-01,848719875600.0
2004-08-01,860891782600.0
2004-09-01,884228699400.0
2004-10-01,903032355600.0
2004-11-01,894532852000.0
2004-12-01,913543340000.0
2005-01-01,940583717200.0
2005-02-01,975393463100.0
2005-03-01,951389509500.0
2005-04-01,978181731100.0
2005-05-01,980957934300.0
2005-06-01,1011119384200.0
2005-07-01,1018957582800.0
2005-08-01,1026880996500.0
2005-09-01,1039964040900.0001
2005-10-01,1052963798700.0001
2005-11-01,1049629264299.9999
2005-12-01,1100523298900.0
2006-01-01,1126494418100.0
2006-02-01,1179911756700.0
2006-03-01,1202955087500.0
2006-04-01,1214304074600.0
2006-05-01,1221960398600.0
2006-06-01,1244660610200.0
2006-07-01,1238073804000.0
2006-08-01,1252898918200.0
2006-09-01,1271085715000.0
2006-10-01,1304190533900.0
2006-11-01,1322774173200.0
2006-12-01,1348686252800.0
2007-01-01,1370152097700.0
2007-02-01,1445141077700.0
2007-03-01,1447954982800.0
2007-04-01,1479628032900.0
2007-05-01,1499499633500.0
2007-06-01,1533597772300.0
2007-07-01,1543020225600.0
2007-08-01,1579478941100.0
2007-09-01,1591319646900.0
2007-10-01,1610070470400.0
2007-11-01,1633088746100.0
2007-12-01,1666973362400.0
2008-01-01,1700643604400.0
2008-02-01,1737367178300.0
2008-03-01,1747489954500.0
2008-04-01,1783566170900.0
2008-05-01,1809649702200.0
2008-06-01,1836343584100.0
2008-07-01,1839402779700.0
2008-08-01,1839048264000.0
2008-09-01,1854496601100.0
2008-10-01,1883164597500.0
2008-11-01,1923509216000.0
2008-12-01,1914409794600.0
2009-01-01,1941405689300.0
2009-02-01,1981367934300.0
2009-03-01,1932749559800.0
2009-04-01,1939873638300.0
2009-05-01,1947547286600.0
2009-06-01,1949660559900.0
2009-07-01,1935059586500.0
2009-08-01,1926142077000.0
2009-09-01,1925512122900.0
2009-10-01,1928048340000.0
2009-11-01,1932381220400.0
2009-12-01,1954476663800.0
2010-01-01,1952817861200.0
2010-02-01,1983765310600.0
2010-03-01,1964693979900.0
2010-04-01,1970169629700.0
2010-05-01,1973846387400.0
2010-06-01,1997384771100.0
2010-07-01,2008689819100.0
2010-08-01,2011856635100.0
2010-09-01,2024308504800.0
2010-10-01,2051468409300.0
2010-11-01,2073716823600.0002
2010-12-01,2089381749499.9998
2011-01-01,2110670324300.0002
2011-02-01,2130564012400.0002
2011-03-01,2089561625299.9998
2011-04-01,2091129621800.0002
2011-05-01,2095449201100.0002
2011-06-01,2117009488799.9998
2011-07-01,2122049571099.9998
2011-08-01,2138646862400.0
2011-09-01,2162969843500.0
2011-10-01,2201217112100.0
2011-11-01,2225250957200.0
2011-12-01,2261906670100.0
2012-01-01,2250129898400.0
2012-02-01,2253279040000.0
2012-03-01,2230250636500.0
2012-04-01,2217540182500.0
2012-05-01,2230712361800.0
2012-06-01,2264236951800.0
2012-07-01,2298891188300.0
2012-08-01,2307337697500.0
2012-09-01,2327414321600.0
2012-10-01,2327296903300.0
2012-11-01,2365853162600.0
2012-12-01,2378618505000.0
2013-01-01,2400061090900.0
2013-02-01,2419058519200.0
2013-03-01,2411452648100.0
2013-04-01,2436771901600.0
2013-05-01,2448774320100.0
2013-06-01,2470640531500.0
2013-07-01,2468908070600.0
2013-08-01,2467948571600.0
2013-09-01,2491568944200.0
2013-10-01,2491640405200.0
2013-11-01,2514580111400.0
2013-12-01,2517430038700.0
2014-01-01,2550013643500.0
2014-02-01,2557972437700.0
2014-03-01,2594607418700.0
2014-04-01,2608393593900.0
2014-05-01,2632883786100.0
2014-06-01,2646616463200.0
2014-07-01,2636438903800.0
2014-08-01,2624750125800.0
2014-09-01,2685834583900.0
2014-10-01,2691318617900.0
2014-11-01,2723995866500.0
2014-12-01,2699078720500.0
2015-01-01,2732666599400.0
2015-02-01,2758965353700.0
2015-03-01,2786361336600.0
2015-04-01,2819800497100.0
2015-05-01,2849115626900.0
2015-06-01,2875420188300.0
2015-07-01,2906457518900.0
2015-08-01,2888480549100.0
2015-09-01,2913719279100.0
2015-10-01,2954771749800.0
2015-11-01,2980612433200.0
2015-12-01,2981086493300.0
2016-01-01,2967412187100.0
2016-02-01,2991685827900.0
2016-03-01,3030355938300.0
2016-04-01,3023802701800.0
2016-05-01,3024921890700.0
2016-06-01,3035165843100.0
2016-07-01,3035337627700.0
2016-08-01,3048401836400.0
2016-09-01,3079008468200.0
2016-10-01,3151321508200.0
2016-11-01,3123445364300.0
2016-12-01,3161725797500.0
2017-01-01,3198508659800.0
2017-02-01,3185462125800.0
2017-03-01,3195606541100.0
2017-04-01,3188631850000.0
2017-05-01,3208681775100.0
2017-06-01,3219038808900.0
2017-07-01,3249233494800.0
2017-08-01,3259424022700.0
2017-09-01,3299867007300.0
2017-10-01,3309877953900.0
2017-11-01,3331667534000.0
2017-12-01,3364310474900.0
2018-01-01,3383212900700.0
2018-02-01,3401733849000.0
2018-03-01,3404648368300.0
2018-04-01,3388084477500.0
2018-05-01,3392848830000.0
2018-06-01,3403975733900.0
2018-07-01,3445189139800.0
2018-08-01,3488034237500.0
2018-09-01,3532185170100.0
2018-10-01,3508983283000.0
2018-11-01,3522424191900.0
2018-12-01,3550949513600.0
2019-01-01,3551627858100.0
2019-02-01,3577550026700.0
2019-03-01,3634605098900.0
2019-04-01,3686417093900.0
2019-05-01,3698833054500.0
2019-06-01,3706524314900.0
2019-07-01,3729465838800.0
2019-08-01,3750422623700.0
2019-09-01,3750696207900.0
2019-10-01,3765816657600.0
2019-11-01,3785182141300.0
2019-12-01,3768911813900.0
2020-01-01,3802591487800.0
2020-02-01,3852723518400.0
2020-03-01,3981096551100.0
2020-04-01,4070948350600.0
2020-05-01,4091765770000.0
2020-06-01,4115251640300.0
2020-07-01,4124997401800.0005
2020-08-01,4159609794900.0005
2020-09-01,4106902688200.0
2020-10-01,4136137330400.0
2020-11-01,4095278335200.0
2020-12-01,4128249538000.0
2021-01-01,4156078334300.0005
2021-02-01,4146110659799.9995
2021-03-01,4137011376400.0
2021-04-01,4144853593800.0005
2021-05-01,4161495772399.9995
2021-06-01,4159556692200.0
