DATE,ZAFSLRTTO01MLM
1/1/2011,70775000000
2/1/2011,68979000000
3/1/2011,73372000000
4/1/2011,75389000000
5/1/2011,71878000000
6/1/2011,73080000000
7/1/2011,74693000000
8/1/2011,73959000000
9/1/2011,76451000000
10/1/2011,78931000000
11/1/2011,81849000000
12/1/2011,1.105E+11
1/1/2012,74053000000
2/1/2012,73572000000
3/1/2012,78323000000
4/1/2012,76556000000
5/1/2012,76248000000
6/1/2012,79395000000
7/1/2012,76903000000
8/1/2012,78961000000
9/1/2012,80200000000
10/1/2012,79999000000
11/1/2012,84563000000
12/1/2012,1.11865E+11
1/1/2013,75617000000
2/1/2013,76176000000
3/1/2013,80498000000
4/1/2013,77768000000
5/1/2013,80958000000
6/1/2013,80555000000
7/1/2013,79039000000
8/1/2013,81504000000
9/1/2013,80095000000
10/1/2013,81288000000
11/1/2013,88426000000
12/1/2013,1.14377E+11
1/1/2014,79331000000
2/1/2014,77574000000
3/1/2014,80748000000
4/1/2014,79489000000
5/1/2014,83107000000
6/1/2014,79767000000
7/1/2014,80893000000
8/1/2014,82850000000
9/1/2014,81654000000
10/1/2014,83715000000
11/1/2014,89906000000
12/1/2014,1.16355E+11
1/1/2015,80703000000
2/1/2015,80370000000
3/1/2015,82815000000
4/1/2015,82386000000
5/1/2015,84932000000
6/1/2015,82708000000
7/1/2015,83682000000
8/1/2015,86199000000
9/1/2015,84379000000
10/1/2015,87154000000
11/1/2015,93975000000
12/1/2015,1.21664E+11
1/1/2016,83659000000
2/1/2016,83775000000
3/1/2016,85554000000
4/1/2016,83805000000
5/1/2016,87988000000
6/1/2016,84452000000
7/1/2016,85769000000
8/1/2016,86759000000
9/1/2016,85829000000
10/1/2016,87328000000
11/1/2016,96160000000
12/1/2016,1.22782E+11
1/1/2017,82541000000
2/1/2017,83449000000
3/1/2017,86562000000
4/1/2017,86365000000
5/1/2017,89917000000
6/1/2017,87494000000
7/1/2017,87709000000
8/1/2017,91713000000
9/1/2017,91079000000
10/1/2017,90721000000
11/1/2017,1.03988E+11
12/1/2017,1.2953E+11
1/1/2018,85722000000
