DATE,ZAFSLRTTO02IXOBSAM
11/1/1995,18.91616405
12/1/1995,19.85578611
1/1/1996,18.60686531
2/1/1996,18.27514288
3/1/1996,18.32518776
4/1/1996,19.12991269
5/1/1996,19.35568131
6/1/1996,20.1934841
7/1/1996,20.39551083
8/1/1996,20.39587452
9/1/1996,20.72573372
10/1/1996,20.55334239
11/1/1996,20.99342987
12/1/1996,22.04328116
1/1/1997,20.02672618
2/1/1997,21.00878616
3/1/1997,21.20999214
4/1/1997,21.67814548
5/1/1997,21.86342583
6/1/1997,21.82443374
7/1/1997,21.55317877
8/1/1997,21.81300369
9/1/1997,22.05352871
10/1/1997,22.07890709
11/1/1997,22.48648126
12/1/1997,23.85387416
1/1/1998,22.4245245
2/1/1998,22.0800275
3/1/1998,22.36898962
4/1/1998,21.93242183
5/1/1998,22.02164755
6/1/1998,21.67444243
7/1/1998,21.83663118
8/1/1998,22.09652675
9/1/1998,22.18493493
10/1/1998,22.08935368
11/1/1998,22.31591217
12/1/1998,22.03036316
1/1/1999,22.84836855
2/1/1999,23.01932112
3/1/1999,23.1487175
4/1/1999,22.82725882
5/1/1999,23.22941729
6/1/1999,22.15645953
7/1/1999,23.22058623
8/1/1999,23.59340612
9/1/1999,23.15039984
10/1/1999,23.60999146
11/1/1999,23.53962641
12/1/1999,23.49076751
1/1/2000,24.75734926
2/1/2000,24.03944072
3/1/2000,24.47635631
4/1/2000,24.87278405
5/1/2000,24.76212881
6/1/2000,24.77222523
7/1/2000,25.06547597
8/1/2000,25.02519317
9/1/2000,25.03797771
10/1/2000,25.59081365
11/1/2000,25.73857884
12/1/2000,25.62895801
1/1/2001,26.07115419
2/1/2001,26.2683671
3/1/2001,26.10321543
4/1/2001,27.19939483
5/1/2001,26.66699579
6/1/2001,26.86953488
7/1/2001,28.09151181
8/1/2001,27.56831858
9/1/2001,27.32295066
10/1/2001,27.97611076
11/1/2001,27.94632693
12/1/2001,28.23747829
1/1/2002,28.79928099
2/1/2002,28.86180318
3/1/2002,29.82698939
4/1/2002,29.70585266
5/1/2002,30.23208104
6/1/2002,30.67885415
7/1/2002,30.58116324
